Name,Genre,Location
Name,Genre,Location
4000 Chinese Restaurant,Chinese Cuisine , Tokyo
Abon,Tonkatsu/Fried foods , Hyogo
acá 1°,Spanish , Tokyo
Aji Arai,Japanese Cuisine , Oita
Ajidocoro,Japanese Cuisine , Hokkaido
Ajihiro,Japanese Cuisine , Tokyo
Ajiman,Seafood , Tokyo
AKAI,Innovative/Fusion , Hiroshima
Akasaka Kikunoi,Japanese Cuisine , Tokyo
aki nagao,French , Hokkaido
akordu,Innovative/Fusion , Nara
Amaki,Sushi , Aichi
Amamoto,Sushi , Tokyo
Amegen,Seafood , Saga
Ankyu,Japanese Cuisine , Kyoto
AO,Innovative/Fusion , Fukuoka
Ao,Innovative/Fusion , Tokyo
Aoki,Japanese Cuisine , Osaka
APICIUS,French , Tokyo
Arai,Sushi , Tokyo
Araki,Tempura , Hokkaido
Arima,Sushi , Hokkaido
ASAHINA Gastronome,French , Tokyo
AZUR et MASA UEKI,French , Tokyo
bb9,Spanish , Hyogo
Bleston Court Yukawatan,French , Nagano
Bon.nu,French , Tokyo
Bouquet de France,French , Aomori
Cá sento,Innovative/Fusion , Hyogo
CAINOYA,Innovative/Fusion , Kyoto
Casa del cibo,Italian , Aomori
ca’enne,Italian , Nagano
CERCA TROVA,Italian , Miyazaki
Chez Inno,French , Tokyo
Chikamatsu,Sushi , Fukuoka
Chiso Nakamura,Japanese Cuisine , Fukuoka
Chiso Nishikenichi,French , Shizuoka
Chiso Sottakuito,Japanese Cuisine , Hiroshima
CHIUnE,Innovative/Fusion , Tokyo
Choyo,Chinese Cuisine , Tokyo
CÔTE D'OR,French , Tokyo
Cucina Italiana Gallura,Italian , Aichi
Daiichi,Seafood , Kyoto
Daimon,Sushi , Toyama
DEN,Creative cuisine , Tokyo
Dojin,Japanese Cuisine , Kyoto
Ebisu YORONIKU,Yakiniku/Meat dishes , Tokyo
Eigetsu,Japanese Cuisine , Tokyo
En,Sushi , Okayama
ESqUISSE,French , Tokyo
été,Innovative/Fusion , Tokyo
f,Italian , Akita
Florilège,French , Tokyo
Fogliolina della Porta Fortuna,Italian , Nagano
FUJI,Japanese Cuisine , Shizuoka
Fujii,Japanese Cuisine , Toyama
Fujiya 1935,Innovative/Fusion , Osaka
Fujiyama,Japanese Cuisine , Tokyo
Fukamachi,Tempura , Tokyo
Fukuda,Japanese Cuisine , Tokyo
Fukunaga,Yakiniku/Meat dishes , Shiga
Funachef,French , Osaka
FUREIKA,Chinese Cuisine , Tokyo
Furuta,Japanese Cuisine , Kyoto
Furuta,Chinese Cuisine , Tokyo
Gahojin,Sushi , Fukuoka
Gamou,Udon , Kagawa
Gessen,Chinese Cuisine , Osaka
Ginza Kitafuku,Seafood , Tokyo
giueme,Italian , Akita
GOURMANDISE,French , Tokyo
Grand rocher,French , Osaka
Grill French,Other , Kyoto
Gyoten,Sushi , Fukuoka
Hachisen,Japanese Cuisine , Aichi
HAGI,French , Fukushima
HAJIME,Innovative/Fusion , Osaka
Hakkoku,Sushi , Tokyo
Hanaichi,Japanese Cuisine , Aichi
Haramasa,Japanese Cuisine , Tokyo
Harutaka,Sushi , Tokyo
Hasegawa Minoru,Innovative/Fusion , Tokyo
Hashiguchi,Sushi , Tokyo
Hashimoto,Sushi , Tokyo
Hassun,Japanese Cuisine , Kyoto
Hato,Sushi , Tokyo
Hatsunezushi,Sushi , Tokyo
Hayashi,Japanese Cuisine , Kyoto
Higashiyama Ogata,Japanese Cuisine , Kyoto
Higuchi,Japanese Cuisine , Tokyo
Hinode,Japanese Cuisine , Mie
Hinotori,Chinese Cuisine , Osaka
Hirasansou,Japanese Cuisine , Shiga
HIRO NAGOYA,Yakiniku/Meat dishes , Aichi
Hirokado,Japanese Cuisine , Oita
Hisada,Sushi , Okayama
Hitotsu,Sushi , Miyazaki
Hitsujiya,Yakiniku/Meat dishes , Yamagata
Hiwatashi,Japanese Cuisine , Kyoto
Hiyama,Japanese Cuisine , Saitama
4000 Chinese Restaurant,Chinese Cuisine , Tokyo
Abon,Tonkatsu/Fried foods , Hyogo
acá 1°,Spanish , Tokyo
Aji Arai,Japanese Cuisine , Oita
Ajidocoro,Japanese Cuisine , Hokkaido
Ajihiro,Japanese Cuisine , Tokyo
Ajiman,Seafood , Tokyo
AKAI,Innovative/Fusion , Hiroshima
Akasaka Kikunoi,Japanese Cuisine , Tokyo
aki nagao,French , Hokkaido
akordu,Innovative/Fusion , Nara
Amaki,Sushi , Aichi
Amamoto,Sushi , Tokyo
Amegen,Seafood , Saga
Ankyu,Japanese Cuisine , Kyoto
AO,Innovative/Fusion , Fukuoka
Ao,Innovative/Fusion , Tokyo
Aoki,Japanese Cuisine , Osaka
APICIUS,French , Tokyo
Arai,Sushi , Tokyo
Araki,Tempura , Hokkaido
Arima,Sushi , Hokkaido
ASAHINA Gastronome,French , Tokyo
AZUR et MASA UEKI,French , Tokyo
bb9,Spanish , Hyogo
Bleston Court Yukawatan,French , Nagano
Bon.nu,French , Tokyo
Bouquet de France,French , Aomori
Cá sento,Innovative/Fusion , Hyogo
CAINOYA,Innovative/Fusion , Kyoto
Casa del cibo,Italian , Aomori
ca’enne,Italian , Nagano
CERCA TROVA,Italian , Miyazaki
Chez Inno,French , Tokyo
Chikamatsu,Sushi , Fukuoka
Chiso Nakamura,Japanese Cuisine , Fukuoka
Chiso Nishikenichi,French , Shizuoka
Chiso Sottakuito,Japanese Cuisine , Hiroshima
CHIUnE,Innovative/Fusion , Tokyo
Choyo,Chinese Cuisine , Tokyo
CÔTE D'OR,French , Tokyo
Cucina Italiana Gallura,Italian , Aichi
Daiichi,Seafood , Kyoto
Daimon,Sushi , Toyama
DEN,Creative cuisine , Tokyo
Dojin,Japanese Cuisine , Kyoto
Ebisu YORONIKU,Yakiniku/Meat dishes , Tokyo
Eigetsu,Japanese Cuisine , Tokyo
En,Sushi , Okayama
ESqUISSE,French , Tokyo
été,Innovative/Fusion , Tokyo
f,Italian , Akita
Florilège,French , Tokyo
Fogliolina della Porta Fortuna,Italian , Nagano
FUJI,Japanese Cuisine , Shizuoka
Fujii,Japanese Cuisine , Toyama
Fujiya 1935,Innovative/Fusion , Osaka
Fujiyama,Japanese Cuisine , Tokyo
Fukamachi,Tempura , Tokyo
Fukuda,Japanese Cuisine , Tokyo
Fukunaga,Yakiniku/Meat dishes , Shiga
Funachef,French , Osaka
FUREIKA,Chinese Cuisine , Tokyo
Furuta,Japanese Cuisine , Kyoto
Furuta,Chinese Cuisine , Tokyo
Gahojin,Sushi , Fukuoka
Gamou,Udon , Kagawa
Gessen,Chinese Cuisine , Osaka
Ginza Kitafuku,Seafood , Tokyo
giueme,Italian , Akita
GOURMANDISE,French , Tokyo
Grand rocher,French , Osaka
Grill French,Other , Kyoto
Gyoten,Sushi , Fukuoka
Hachisen,Japanese Cuisine , Aichi
HAGI,French , Fukushima
HAJIME,Innovative/Fusion , Osaka
Hakkoku,Sushi , Tokyo
Hanaichi,Japanese Cuisine , Aichi
Haramasa,Japanese Cuisine , Tokyo
Harutaka,Sushi , Tokyo
Hasegawa Minoru,Innovative/Fusion , Tokyo
Hashiguchi,Sushi , Tokyo
Hashimoto,Sushi , Tokyo
Hassun,Japanese Cuisine , Kyoto
Hato,Sushi , Tokyo
Hatsunezushi,Sushi , Tokyo
Hayashi,Japanese Cuisine , Kyoto
Higashiyama Ogata,Japanese Cuisine , Kyoto
Higuchi,Japanese Cuisine , Tokyo
Hinode,Japanese Cuisine , Mie
Hinotori,Chinese Cuisine , Osaka
Hirasansou,Japanese Cuisine , Shiga
HIRO NAGOYA,Yakiniku/Meat dishes , Aichi
Hirokado,Japanese Cuisine , Oita
Hisada,Sushi , Okayama
Hitotsu,Sushi , Miyazaki
Hitsujiya,Yakiniku/Meat dishes , Yamagata
Hiwatashi,Japanese Cuisine , Kyoto
Hiyama,Japanese Cuisine , Saitama
HOMMAGE,French , Tokyo
Honkogetsu,Japanese Cuisine , Osaka
hôtel de yoshino,French , Wakayama
Hyotei Honten,Japanese Cuisine , Kyoto
Ichikawa,Sushi , Tokyo
Ichirin Hanare,Chinese Cuisine , Kanagawa
Ichita,Japanese Cuisine , Tokyo
Ifuki,Japanese Cuisine , Kyoto
Iida,Japanese Cuisine , Kyoto
IIDASHOUTEN,Ramen , Kanagawa
Ikko,Sushi , Hokkaido
Ikkoan,Sweets , Tokyo
il AOYAMA,Italian , Aichi
Imoto,Japanese Cuisine , Fukuoka
Inomata,Sushi , Saitama
Installation Table ENSO L'asymetrie du calme,French , Ishikawa
Ishikawa,Japanese Cuisine , Tokyo
Isshinzushi Koyo,Sushi , Miyazaki
Ito,Sushi , Fukushima
Ito,Yakiniku/Meat dishes , Oita
iwanagashokudo,Other , Miyazaki
Iyuki,Japanese Cuisine , Tokyo
Jambo Hanare,Yakiniku/Meat dishes , Tokyo
Jikyuan,Soba , Ibaraki
Jinsei,Sushi , Osaka
JO,Yakiniku/Meat dishes , Tokyo
Joël Robuchon,French , Tokyo
Jubei,Sushi , Fukui
K+,Italian , Tokyo
Kabuto,Unagi , Tokyo
Kadowaki,Japanese Cuisine , Tokyo
KAHALA,Creative cuisine , Osaka
